name,region,size,task_clock,CPUs_utilized,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,instructions,branches,branch_misses,time_elapsed,IO,num_threads
mandelbrot_seq,full,32,1.47,0.680,0,0,72,056.510,949.143,512.411,423.946,36.109,0.0021550,True,16
mandelbrot_seq,full,64,1.82,0.730,0,0,102,281.018,347.739,127.661,879.134,44.596,0.002499,True,16
mandelbrot_seq,full,128,7.32,0.913,0,0,221,619.447,147.347,401.199,676.388,74.306,0.008014,True,16
mandelbrot_seq,full,256,18.93,0.948,0,0,703,353.004,526.877,445.447,846.656,188.656,0.01997,True,16
mandelbrot_seq,full,512,59.43,0.985,0,0,623,327.855,554.185,159.835,459.256,632.839,0.06033,True,16
mandelbrot_seq,full,1024,216.82,0.996,0,0,303,911.179,362.549,765.894,850.561,384.426,0.21772,True,16
mandelbrot_seq,full,2048,841.26,0.989,16,1,023,021.604,174.850,954.940,861.396,506.223,0.85078,True,16
mandelbrot_seq,full,4096,289.51,0.965,42,3,903,205.562,344.874,732.710,295.083,785.278,3.4096,True,16
mandelbrot_seq,full,8192,086.99,0.979,134,11,423,157.603,883.708,265.380,447.083,629.121,13.363,True,16
mandelbrot_seq,seahorse,16,1.50,0.690,0,0,65,394.116,935.356,574.297,387.194,35.305,0.002172,True,16
mandelbrot_seq,seahorse,32,2.50,0.809,0,0,73,886.681,018.481,343.362,712.573,37.643,0.003092,True,16
mandelbrot_seq,seahorse,64,10.67,0.936,0,0,103,880.217,361.610,514.584,035.693,50.979,0.011396,True,16
mandelbrot_seq,seahorse,128,22.93,0.959,1,0,223,686.286,534.206,833.078,267.368,93.591,0.02390,True,16
mandelbrot_seq,seahorse,256,72.76,0.992,0,0,704,635.903,897.348,946.117,129.885,253.592,0.07333,True,16
mandelbrot_seq,seahorse,512,283.61,0.993,4,0,624,491.974,709.541,881.353,722.658,918.411,0.28551,True,16
mandelbrot_seq,seahorse,1024,106.33,0.999,5,0,304,376.929,521.468,692.281,607.222,508.855,1.10758,True,16
mandelbrot_seq,seahorse,2048,411.59,0.997,21,3,024,570.308,596.062,324.743,458.808,886.063,4.42462,True,16
mandelbrot_seq,seahorse,4096,587.86,0.989,103,9,904,854.832,736.784,949.205,623.184,412.678,17.7813,True,16
mandelbrot_seq,seahorse,8192,207.41,0.997,284,12,424,537.426,382.546,944.691,639.115,613.594,70.425,True,16
mandelbrot_seq,elephant,16,1.23,0.675,0,0,65,503.048,996.700,547.052,384.584,35.233,0.001828,True,16
mandelbrot_seq,elephant,32,3.95,0.816,0,0,73,894.344,127.631,177.541,701.883,38.322,0.004833,True,16
mandelbrot_seq,elephant,64,10.58,0.931,0,0,103,215.623,501.347,615.421,968.997,50.336,0.011357,True,16
mandelbrot_seq,elephant,128,19.33,0.966,0,0,223,443.097,392.571,019.076,973.130,88.444,0.02002,True,16
mandelbrot_seq,elephant,256,71.55,0.989,0,0,704,904.288,885.054,597.852,994.768,244.361,0.07233,True,16
mandelbrot_seq,elephant,512,268.38,0.994,5,0,624,544.299,245.410,431.111,110.472,877.917,0.26999,True,16
mandelbrot_seq,elephant,1024,047.78,0.998,5,1,304,022.787,691.504,886.884,014.662,327.116,1.04969,True,16
mandelbrot_seq,elephant,2048,167.77,0.978,18,2,024,098.186,672.448,384.420,423.079,987.716,4.2602,True,16
mandelbrot_seq,elephant,4096,592.28,0.989,77,6,904,459.997,890.728,513.070,737.213,177.111,16.7816,True,16
mandelbrot_seq,elephant,8192,285.86,0.996,269,28,424,854.393,941.303,947.697,813.119,327.317,66.549,True,16
mandelbrot_seq,triple_spiral,16,1.52,0.641,0,0,65,615.297,965.478,741.913,399.573,35.152,0.0023698,True,16
mandelbrot_seq,triple_spiral,32,2.29,0.793,0,0,73,267.788,372.985,968.170,758.058,37.740,0.002895,True,16
mandelbrot_seq,triple_spiral,64,10.33,0.938,0,0,103,556.843,513.317,048.193,223.990,50.637,0.01101,True,16
mandelbrot_seq,triple_spiral,128,26.07,0.973,0,0,223,911.860,480.374,871.170,011.434,93.312,0.02679,True,16
mandelbrot_seq,triple_spiral,256,82.66,0.981,4,0,704,178.794,852.893,134.109,176.068,267.449,0.08427,True,16
mandelbrot_seq,triple_spiral,512,318.97,0.997,1,0,624,267.319,938.591,860.687,531.208,918.418,0.31999,True,16
mandelbrot_seq,triple_spiral,1024,244.52,0.996,20,2,304,010.675,457.216,435.621,132.689,544.449,1.24944,True,16
mandelbrot_seq,triple_spiral,2048,982.88,0.970,42,2,024,754.112,852.448,482.656,668.576,982.503,5.1366,True,16
mandelbrot_seq,triple_spiral,4096,831.89,0.998,92,5,904,030.007,841.509,095.791,268.387,894.606,19.87751,True,16
mandelbrot_seq,triple_spiral,8192,274.04,0.998,335,28,425,479.843,912.627,406.873,263.675,655.614,79.4170,True,16
mandelbrot_pth,full,16,2.59,0.967,5,0,94,920.022,751.827,910.412,579.776,66.362,0.002683,False,1
mandelbrot_pth,full,32,2.72,0.956,5,0,99,152.222,653.608,793.929,687.049,67.340,0.0028398,False,1
mandelbrot_pth,full,64,2.98,1.121,3,0,130,382.302,012.397,403.526,138.260,75.758,0.002662,False,1
mandelbrot_pth,full,128,11.04,1.247,4,0,249,986.138,561.757,743.563,938.435,105.892,0.008859,False,1
mandelbrot_pth,full,256,30.54,1.379,3,0,729,514.931,577.487,042.793,119.646,223.916,0.02215,False,1
mandelbrot_pth,full,512,88.90,1.531,3,0,649,705.048,004.695,682.474,759.115,671.125,0.05805,False,1
mandelbrot_pth,full,1024,263.45,1.444,4,0,330,534.529,106.107,570.683,189.490,429.538,0.18250,False,1
mandelbrot_pth,full,2048,877.51,1.383,6,0,050,423.477,669.984,724.038,420.480,469.212,0.63450,False,1
mandelbrot_pth,full,4096,377.49,1.232,20,1,929,051.551,415.299,593.577,232.671,845.297,2.7404,False,1
mandelbrot_pth,full,8192,172.75,1.320,118,5,450,278.188,757.083,038.999,448.610,978.224,9.9786,False,1
mandelbrot_pth,seahorse,16,2.10,1.119,7,0,92,013.138,824.606,882.794,656.457,67.410,0.001874,False,1
mandelbrot_pth,seahorse,32,3.95,1.390,2,0,99,867.542,666.911,549.723,958.793,66.613,0.002838,False,1
mandelbrot_pth,seahorse,64,9.66,1.994,2,0,130,891.301,014.447,712.493,278.087,79.824,0.004843,False,1
mandelbrot_pth,seahorse,128,36.79,2.758,2,0,248,314.598,014.395,203.270,533.140,126.591,0.013343,False,1
mandelbrot_pth,seahorse,256,94.30,2.947,2,0,730,162.218,602.827,782.607,454.929,293.954,0.032001,False,1
mandelbrot_pth,seahorse,512,329.42,3.271,2,0,650,609.573,643.273,673.779,096.869,949.121,0.10072,False,1
mandelbrot_pth,seahorse,1024,150.35,3.522,4,0,329,327.066,460.626,059.015,185.268,517.307,0.32665,False,1
mandelbrot_pth,seahorse,2048,484.64,3.565,15,2,050,318.232,738.451,960.164,583.473,838.285,1.25790,False,1
mandelbrot_pth,seahorse,4096,804.04,3.570,51,5,929,598.876,651.679,588.314,149.244,104.109,4.98714,False,1
mandelbrot_pth,seahorse,8192,435.23,3.487,310,30,451,519.072,892.393,320.191,013.547,328.174,20.488,False,1
mandelbrot_pth,elephant,16,2.14,1.015,7,0,92,127.523,884.401,842.059,650.843,66.864,0.002105,False,1
mandelbrot_pth,elephant,32,3.59,1.760,2,0,99,149.243,804.779,373.358,946.509,66.959,0.0020381,False,1
mandelbrot_pth,elephant,64,9.67,1.963,2,0,129,053.048,048.891,810.428,211.100,79.526,0.004928,False,1
mandelbrot_pth,elephant,128,43.11,2.674,3,0,249,090.426,932.741,537.899,269.324,127.161,0.016120,False,1
mandelbrot_pth,elephant,256,87.54,2.780,3,0,729,394.725,429.430,315.257,297.234,281.742,0.03149,False,1
mandelbrot_pth,elephant,512,305.89,3.389,2,0,649,467.479,166.600,702.970,383.565,896.803,0.09026,False,1
mandelbrot_pth,elephant,1024,085.97,3.489,4,0,330,565.990,876.836,716.791,491.388,319.047,0.31128,False,1
mandelbrot_pth,elephant,2048,246.18,3.443,15,3,049,559.066,786.446,833.217,567.470,024.253,1.2333,False,1
mandelbrot_pth,elephant,4096,850.28,3.558,71,8,929,452.435,632.191,644.144,527.323,115.270,4.73621,False,1
mandelbrot_pth,elephant,8192,302.47,3.538,181,17,450,266.625,437.381,982.341,013.259,377.579,19.024,False,1
mandelbrot_pth,triple_spiral,16,1.94,1.124,5,0,92,134.983,775.416,016.223,661.151,65.893,0.001723,False,1
mandelbrot_pth,triple_spiral,32,3.37,1.684,3,0,100,851.496,803.952,201.924,010.707,67.261,0.002002,False,1
mandelbrot_pth,triple_spiral,64,11.83,2.051,2,0,129,073.187,926.419,295.039,476.483,80.206,0.005770,False,1
mandelbrot_pth,triple_spiral,128,52.27,2.955,4,0,249,596.858,036.995,422.694,315.163,131.858,0.017692,False,1
mandelbrot_pth,triple_spiral,256,100.68,3.020,3,0,729,455.169,285.923,640.571,427.153,294.910,0.033341,False,1
mandelbrot_pth,triple_spiral,512,359.88,3.453,2,0,650,185.993,652.892,953.020,974.851,952.754,0.10422,False,1
mandelbrot_pth,triple_spiral,1024,300.83,3.756,5,0,329,736.354,117.428,189.292,835.471,541.198,0.34638,False,1
mandelbrot_pth,triple_spiral,2048,079.70,3.637,16,2,049,637.460,212.378,725.144,525.108,965.544,1.3966,False,1
mandelbrot_pth,triple_spiral,4096,178.38,3.710,61,5,930,266.731,071.179,911.645,778.563,761.074,5.4384,False,1
mandelbrot_pth,triple_spiral,8192,545.87,3.854,208,19,450,906.568,110.585,417.728,280.952,306.222,20.901,False,1
mandelbrot_omp,full,16,24.09,8.010,4,0,108,672.643,744.677,522.792,213.171,96.614,0.003007,False,1
mandelbrot_omp,full,32,11.59,5.192,4,0,115,227.853,710.035,584.920,978.601,94.183,0.002233,False,1
mandelbrot_omp,full,64,18.55,6.836,5,0,145,071.933,930.862,238.824,376.321,105.203,0.002713,False,1
mandelbrot_omp,full,128,30.70,7.952,4,0,265,681.919,630.502,389.959,329.696,132.718,0.003860,False,1
mandelbrot_omp,full,256,100.19,7.555,19,0,746,133.085,870.504,877.349,875.439,264.319,0.01326,False,1
mandelbrot_omp,full,512,213.61,6.676,57,0,666,946.172,137.664,542.921,366.431,727.246,0.03200,False,1
mandelbrot_omp,full,1024,446.64,4.269,63,2,346,732.182,042.638,484.758,514.976,429.609,0.10463,False,1
mandelbrot_omp,full,2048,129.53,2.871,51,4,066,286.595,995.820,249.923,516.380,098.426,0.39338,False,1
mandelbrot_omp,full,4096,815.22,2.464,123,10,946,250.019,549.831,781.117,637.409,897.240,1.54808,False,1
mandelbrot_omp,full,8192,705.79,2.317,651,31,466,655.688,370.990,890.737,184.939,960.846,6.347,False,1
mandelbrot_omp,seahorse,16,23.13,6.637,4,0,108,789.711,567.049,550.060,070.780,96.335,0.003485,False,1
mandelbrot_omp,seahorse,32,14.56,6.012,4,0,115,472.274,783.536,914.257,589.381,96.363,0.002421,False,1
mandelbrot_omp,seahorse,64,25.44,8.055,4,0,145,589.463,062.011,330.519,470.676,108.614,0.003158,False,1
mandelbrot_omp,seahorse,128,56.94,9.243,7,0,265,536.716,055.591,594.806,323.704,156.384,0.006160,False,1
mandelbrot_omp,seahorse,256,140.94,9.149,24,0,746,363.494,682.637,625.395,347.796,323.597,0.01541,False,1
