executable,n,elapsed_time,version,n_procs,process_0_elapsed_time,process_1_elapsed_time,max_proc_id,process_2_elapsed_time,process_3_elapsed_time,process_4_elapsed_time,process_5_elapsed_time,process_6_elapsed_time,process_7_elapsed_time,process_8_elapsed_time,process_9_elapsed_time,process_10_elapsed_time,process_11_elapsed_time,process_12_elapsed_time,process_13_elapsed_time,process_14_elapsed_time,process_15_elapsed_time,process_16_elapsed_time,process_17_elapsed_time,process_18_elapsed_time,process_19_elapsed_time,process_20_elapsed_time,process_21_elapsed_time,process_22_elapsed_time,process_23_elapsed_time,process_24_elapsed_time,process_25_elapsed_time,process_26_elapsed_time,process_27_elapsed_time,process_28_elapsed_time,process_29_elapsed_time,process_30_elapsed_time,process_31_elapsed_time,process_32_elapsed_time,process_33_elapsed_time,process_34_elapsed_time,process_35_elapsed_time,process_36_elapsed_time,process_37_elapsed_time,process_38_elapsed_time,process_39_elapsed_time,process_40_elapsed_time,process_41_elapsed_time,process_42_elapsed_time,process_43_elapsed_time,process_44_elapsed_time,process_45_elapsed_time,process_46_elapsed_time,process_47_elapsed_time,process_48_elapsed_time,process_49_elapsed_time,process_50_elapsed_time,process_51_elapsed_time,process_52_elapsed_time,process_53_elapsed_time,process_54_elapsed_time,process_55_elapsed_time,process_56_elapsed_time,process_57_elapsed_time,process_58_elapsed_time,process_59_elapsed_time,process_60_elapsed_time,process_61_elapsed_time,process_62_elapsed_time,process_63_elapsed_time
sequential_julia,5000,8.555427005,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.655268608,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.561530901,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.543765114,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.671593173,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.548783658,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.630329638,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.554036662,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.579026475,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.585679878,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
