executable,n_points,iter_limit,block_dim_x,block_dim_y,grid_dim_x,grid_dim_y,num_threads_per_block,num_blocks_per_grid,elapsed_time,version
heat,100,1024,,,,,,,0.038406073,sequential
heat,100,1024,,,,,,,0.043907531,sequential
heat,100,1024,,,,,,,0.042741418,sequential
heat,100,1024,,,,,,,0.047225602,sequential
heat,100,1024,,,,,,,0.048181484,sequential
heat,100,1024,,,,,,,0.049164747,sequential
heat,100,1024,,,,,,,0.047242155,sequential
heat,100,1024,,,,,,,0.049066825,sequential
heat,100,1024,,,,,,,0.045890118,sequential
heat,100,1024,,,,,,,0.036771029,sequential
heat,100,1024,,,,,,,0.048103469,sequential
heat,100,1024,,,,,,,0.037072963,sequential
heat,100,1024,,,,,,,0.047545975,sequential
heat,100,1024,,,,,,,0.047605342,sequential
heat,100,1024,,,,,,,0.046232353,sequential
heat,100,1024,,,,,,,0.046904111,sequential
heat,100,1024,,,,,,,0.037212791,sequential
heat,100,1024,,,,,,,0.036880754,sequential
heat,100,1024,,,,,,,0.038960772,sequential
heat,100,1024,,,,,,,0.038597095,sequential
heat,100,1024,,,,,,,0.038738668,sequential
heat,100,1024,,,,,,,0.038015016,sequential
heat,100,1024,,,,,,,0.048693927,sequential
heat,100,1024,,,,,,,0.038072148,sequential
heat,100,1024,,,,,,,0.037829022,sequential
heat,100,1024,,,,,,,0.049914937,sequential
heat,100,1024,,,,,,,0.048432292,sequential
heat,100,1024,,,,,,,0.051200832,sequential
heat,100,1024,,,,,,,0.04755247,sequential
heat,100,1024,,,,,,,0.048292395,sequential
heat,100,1024,,,,,,,0.047333928,sequential
heat,100,1024,,,,,,,0.036947035,sequential
heat,100,1024,,,,,,,0.036803365,sequential
heat,100,1024,,,,,,,0.036744138,sequential
heat,100,1024,,,,,,,0.037365329,sequential
heat,100,1024,,,,,,,0.036909598,sequential
heat,100,1024,,,,,,,0.045596564,sequential
heat,100,1024,,,,,,,0.0554634,sequential
heat,100,1024,,,,,,,0.037124856,sequential
heat,100,1024,,,,,,,0.037338159,sequential
heat,100,1024,,,,,,,0.039154099,sequential
heat,100,1024,,,,,,,0.036907082,sequential
heat,100,1024,,,,,,,0.038319115,sequential
heat,100,1024,,,,,,,0.037093006,sequential
heat,100,1024,,,,,,,0.03696652,sequential
heat,100,1024,,,,,,,0.038820174,sequential
heat,100,1024,,,,,,,0.037075336,sequential
heat,100,1024,,,,,,,0.037120455,sequential
heat,100,1024,,,,,,,0.039418596,sequential
heat,100,1024,,,,,,,0.036969523,sequential
heat,100,1024,,,,,,,0.036793656,sequential
heat,100,1024,,,,,,,0.038738807,sequential
heat,100,1024,,,,,,,0.037007168,sequential
heat,100,1024,,,,,,,0.036782272,sequential
heat,100,1024,,,,,,,0.039232882,sequential
heat,100,1024,,,,,,,0.046532888,sequential
heat,100,1024,,,,,,,0.044739159,sequential
heat,100,1024,,,,,,,0.036744696,sequential
heat,100,1024,,,,,,,0.04602673,sequential
heat,100,1024,,,,,,,0.036423623,sequential
heat,100,1024,,,,,,,0.036688541,sequential
heat,100,1024,,,,,,,0.037304633,sequential
heat,100,1024,,,,,,,0.037666913,sequential
heat,100,1024,,,,,,,0.047225529,sequential
heat,100,1024,,,,,,,0.036894649,sequential
heat,100,1024,,,,,,,0.050508467,sequential
heat,100,1024,,,,,,,0.036664025,sequential
heat,100,1024,,,,,,,0.047553724,sequential
heat,100,1024,,,,,,,0.036558211,sequential
heat,100,1024,,,,,,,0.049658607,sequential
heat,100,1024,,,,,,,0.046053339,sequential
heat,100,1024,,,,,,,0.036765298,sequential
heat,100,1024,,,,,,,0.048211653,sequential
heat,100,1024,,,,,,,0.046088121,sequential
heat,100,1024,,,,,,,0.050726938,sequential
heat,100,1024,,,,,,,0.047757179,sequential
heat,100,1024,,,,,,,0.036598092,sequential
heat,100,1024,,,,,,,0.048057088,sequential
heat,100,1024,,,,,,,0.036839821,sequential
heat,100,1024,,,,,,,0.047959796,sequential
heat,100,1024,,,,,,,0.036729329,sequential
heat,100,1024,,,,,,,0.044125789,sequential
heat,100,1024,,,,,,,0.037186317,sequential
heat,100,1024,,,,,,,0.046986033,sequential
heat,100,1024,,,,,,,0.047841829,sequential
heat,100,1024,,,,,,,0.047395386,sequential
heat,100,1024,,,,,,,0.062767801,sequential
heat,100,1024,,,,,,,0.046172351,sequential
heat,100,1024,,,,,,,0.036838493,sequential
heat,100,1024,,,,,,,0.047153238,sequential
heat,100,1024,,,,,,,0.046876307,sequential
heat,100,1024,,,,,,,0.047959655,sequential
heat,100,1024,,,,,,,0.036420967,sequential
heat,100,1024,,,,,,,0.049320771,sequential
heat,100,1024,,,,,,,0.046917515,sequential
heat,100,1024,,,,,,,0.049669641,sequential
heat,100,1024,,,,,,,0.04654846,sequential
heat,100,1024,,,,,,,0.046714828,sequential
heat,100,1024,,,,,,,0.049087493,sequential
heat,100,1024,,,,,,,0.037974713,sequential
heat,100,1024,,,,,,,0.066757071,sequential
heat,100,1024,,,,,,,0.0410433,sequential
heat,100,1024,,,,,,,0.037251131,sequential
heat,100,1024,,,,,,,0.037426578,sequential
heat,100,1024,,,,,,,0.037360505,sequential
heat,100,1024,,,,,,,0.037218792,sequential
heat,100,1024,,,,,,,0.046179893,sequential
heat,100,1024,,,,,,,0.036894646,sequential
heat,100,1024,,,,,,,0.038161474,sequential
heat,100,1024,,,,,,,0.037129322,sequential
heat,100,1024,,,,,,,0.037299322,sequential
heat,100,1024,,,,,,,0.037250011,sequential
heat,100,1024,,,,,,,0.047474867,sequential
heat,100,1024,,,,,,,0.04708905,sequential
heat,100,1024,,,,,,,0.048796243,sequential
heat,100,1024,,,,,,,0.036887033,sequential
heat,100,1024,,,,,,,0.046453331,sequential
heat,100,1024,,,,,,,0.047004469,sequential
heat,100,1024,,,,,,,0.047913487,sequential
heat,100,1024,,,,,,,0.046691638,sequential
heat,100,1024,,,,,,,0.046897677,sequential
heat,100,1024,,,,,,,0.045603542,sequential
heat,100,1024,,,,,,,0.04818483,sequential
heat,100,1024,,,,,,,0.040429651,sequential
heat,100,1024,,,,,,,0.047039879,sequential
heat,100,1024,,,,,,,0.047368423,sequential
heat,100,1024,,,,,,,0.047089467,sequential
heat,100,1024,,,,,,,0.038567615,sequential
heat,100,1024,,,,,,,0.037049349,sequential
heat,100,1024,,,,,,,0.037056753,sequential
heat,100,1024,,,,,,,0.047075569,sequential
heat,100,1024,,,,,,,0.041150229,sequential
heat,100,1024,,,,,,,0.037244144,sequential
heat,100,1024,,,,,,,0.045966379,sequential
heat,100,1024,,,,,,,0.044817029,sequential
heat,100,1024,,,,,,,0.045699646,sequential
heat,100,1024,,,,,,,0.051487882,sequential
heat,100,1024,,,,,,,0.047334899,sequential
heat,100,1024,,,,,,,0.03678981,sequential
heat,100,1024,,,,,,,0.049166553,sequential
heat,100,1024,,,,,,,0.03664216,sequential
heat,100,1024,,,,,,,0.046589456,sequential
heat,100,1024,,,,,,,0.046897886,sequential
heat,100,1024,,,,,,,0.045662978,sequential
heat,100,1024,,,,,,,0.046704558,sequential
heat,100,1024,,,,,,,0.048099407,sequential
heat,100,1024,,,,,,,0.048004071,sequential
heat,100,1024,,,,,,,0.044590804,sequential
heat,100,1024,,,,,,,0.047122432,sequential
heat,100,1024,,,,,,,0.036787434,sequential
heat,100,1024,,,,,,,0.040996502,sequential
heat,100,1024,,,,,,,0.037562211,sequential
heat,100,1024,,,,,,,0.044233693,sequential
heat,100,1024,,,,,,,0.048095706,sequential
heat,100,1024,,,,,,,0.04826836,sequential
heat,100,1024,,,,,,,0.04956962,sequential
heat,100,1024,,,,,,,0.038275666,sequential
heat,100,1024,,,,,,,0.038448599,sequential
heat,100,1024,,,,,,,0.038182634,sequential
heat,100,1024,,,,,,,0.038031352,sequential
heat,100,1024,,,,,,,0.038075633,sequential
heat,100,1024,,,,,,,0.038269729,sequential
heat,100,1024,,,,,,,0.037927285,sequential
heat,100,1024,,,,,,,0.038190526,sequential
heat,100,1024,,,,,,,0.038073189,sequential
heat,100,1024,,,,,,,0.038140868,sequential
heat,100,1024,,,,,,,0.038108459,sequential
heat,100,1024,,,,,,,0.038354868,sequential
heat,100,1024,,,,,,,0.048194604,sequential
heat,100,1024,,,,,,,0.037625069,sequential
heat,100,1024,,,,,,,0.041098891,sequential
heat,100,1024,,,,,,,0.051237349,sequential
heat,100,1024,,,,,,,0.067571092,sequential
heat,100,1024,,,,,,,0.04908567,sequential
heat,100,1024,,,,,,,0.048121896,sequential
heat,100,1024,,,,,,,0.037201467,sequential
heat,100,1024,,,,,,,0.048320112,sequential
heat,100,1024,,,,,,,0.049267404,sequential
heat,100,1024,,,,,,,0.03736993,sequential
heat,100,1024,,,,,,,0.037730185,sequential
heat,100,1024,,,,,,,0.037815533,sequential
heat,100,1024,,,,,,,0.037701339,sequential
heat,100,1024,,,,,,,0.03748189,sequential
heat,100,1024,,,,,,,0.047515093,sequential
heat,100,1024,,,,,,,0.036843517,sequential
heat,100,1024,,,,,,,0.03897515,sequential
heat,100,1024,,,,,,,0.036669955,sequential
heat,100,1024,,,,,,,0.036476138,sequential
heat,100,1024,,,,,,,0.036673167,sequential
heat,100,1024,,,,,,,0.048388628,sequential
heat,100,1024,,,,,,,0.036829548,sequential
heat,100,1024,,,,,,,0.048305932,sequential
heat,100,1024,,,,,,,0.047459286,sequential
heat,100,1024,,,,,,,0.04536062,sequential
heat,200,1024,,,,,,,0.15777744,sequential
heat,200,1024,,,,,,,0.159265881,sequential
heat,200,1024,,,,,,,0.159388807,sequential
heat,200,1024,,,,,,,0.148638099,sequential
heat,200,1024,,,,,,,0.158006942,sequential
heat,200,1024,,,,,,,0.15926427,sequential
heat,200,1024,,,,,,,0.149476988,sequential
heat,200,1024,,,,,,,0.149475102,sequential
heat,200,1024,,,,,,,0.154858872,sequential
heat,200,1024,,,,,,,0.159315117,sequential
heat,200,1024,,,,,,,0.158810141,sequential
heat,200,1024,,,,,,,0.167113731,sequential
heat,200,1024,,,,,,,0.15054692,sequential
heat,200,1024,,,,,,,0.14902691,sequential
heat,200,1024,,,,,,,0.157150023,sequential
heat,200,1024,,,,,,,0.157750401,sequential
heat,200,1024,,,,,,,0.147751907,sequential
heat,200,1024,,,,,,,0.148264071,sequential
heat,200,1024,,,,,,,0.148105317,sequential
heat,200,1024,,,,,,,0.149273593,sequential
heat,200,1024,,,,,,,0.15595555,sequential
heat,200,1024,,,,,,,0.157856349,sequential
heat,200,1024,,,,,,,0.148938548,sequential
heat,200,1024,,,,,,,0.148617546,sequential
heat,200,1024,,,,,,,0.147704198,sequential
heat,200,1024,,,,,,,0.148011511,sequential
heat,200,1024,,,,,,,0.15729941,sequential
heat,200,1024,,,,,,,0.147816018,sequential
heat,200,1024,,,,,,,0.148592329,sequential
heat,200,1024,,,,,,,0.15509262,sequential
heat,200,1024,,,,,,,0.14902089,sequential
heat,200,1024,,,,,,,0.148323569,sequential
heat,200,1024,,,,,,,0.148648692,sequential
heat,200,1024,,,,,,,0.148877011,sequential
heat,200,1024,,,,,,,0.148624734,sequential
heat,200,1024,,,,,,,0.14864764,sequential
heat,200,1024,,,,,,,0.171890746,sequential
heat,200,1024,,,,,,,0.148336276,sequential
heat,200,1024,,,,,,,0.148515635,sequential
heat,200,1024,,,,,,,0.153920636,sequential
heat,200,1024,,,,,,,0.14915659,sequential
heat,200,1024,,,,,,,0.15800782,sequential
heat,200,1024,,,,,,,0.148058223,sequential
heat,200,1024,,,,,,,0.153663467,sequential
heat,200,1024,,,,,,,0.157801363,sequential
heat,200,1024,,,,,,,0.147759641,sequential
heat,200,1024,,,,,,,0.158435054,sequential
heat,200,1024,,,,,,,0.149442174,sequential
heat,200,1024,,,,,,,0.149355148,sequential
heat,200,1024,,,,,,,0.149446713,sequential
heat,200,1024,,,,,,,0.148363994,sequential
heat,200,1024,,,,,,,0.148959273,sequential
heat,200,1024,,,,,,,0.14999799,sequential
heat,200,1024,,,,,,,0.158158534,sequential
heat,200,1024,,,,,,,0.147720729,sequential
heat,200,1024,,,,,,,0.148146497,sequential
heat,200,1024,,,,,,,0.159226096,sequential
heat,200,1024,,,,,,,0.148691697,sequential
heat,200,1024,,,,,,,0.158601343,sequential
heat,200,1024,,,,,,,0.158339216,sequential
heat,200,1024,,,,,,,0.161490846,sequential
heat,200,1024,,,,,,,0.149499506,sequential
heat,200,1024,,,,,,,0.156160438,sequential
heat,200,1024,,,,,,,0.158985829,sequential
heat,200,1024,,,,,,,0.149547768,sequential
heat,200,1024,,,,,,,0.149537776,sequential
heat,200,1024,,,,,,,0.1496387,sequential
heat,200,1024,,,,,,,0.150052036,sequential
heat,200,1024,,,,,,,0.149673273,sequential
heat,200,1024,,,,,,,0.149444534,sequential
heat,200,1024,,,,,,,0.149448306,sequential
heat,200,1024,,,,,,,0.149720624,sequential
heat,200,1024,,,,,,,0.149726978,sequential
heat,200,1024,,,,,,,0.149014083,sequential
heat,200,1024,,,,,,,0.148561495,sequential
heat,200,1024,,,,,,,0.148295949,sequential
heat,200,1024,,,,,,,0.150213161,sequential
heat,200,1024,,,,,,,0.160381087,sequential
heat,200,1024,,,,,,,0.157881444,sequential
heat,200,1024,,,,,,,0.150816537,sequential
heat,200,1024,,,,,,,0.15885395,sequential
heat,200,1024,,,,,,,0.159113488,sequential
heat,200,1024,,,,,,,0.149382993,sequential
heat,200,1024,,,,,,,0.149661248,sequential
heat,200,1024,,,,,,,0.149531616,sequential
heat,200,1024,,,,,,,0.17188372,sequential
heat,200,1024,,,,,,,0.148407061,sequential
heat,200,1024,,,,,,,0.148844912,sequential
heat,200,1024,,,,,,,0.148510081,sequential
heat,200,1024,,,,,,,0.148470199,sequential
heat,200,1024,,,,,,,0.148439534,sequential
heat,200,1024,,,,,,,0.148303758,sequential
heat,200,1024,,,,,,,0.149037606,sequential
heat,200,1024,,,,,,,0.149341567,sequential
heat,200,1024,,,,,,,0.148817668,sequential
heat,200,1024,,,,,,,0.149152988,sequential
heat,200,1024,,,,,,,0.14904326,sequential
heat,200,1024,,,,,,,0.148989689,sequential
heat,200,1024,,,,,,,0.14932026,sequential
heat,200,1024,,,,,,,0.149220941,sequential
heat,200,1024,,,,,,,0.158948643,sequential
heat,200,1024,,,,,,,0.148077669,sequential
heat,200,1024,,,,,,,0.159552019,sequential
heat,200,1024,,,,,,,0.151157845,sequential
heat,200,1024,,,,,,,0.166128857,sequential
heat,200,1024,,,,,,,0.14986797,sequential
heat,200,1024,,,,,,,0.160359902,sequential
heat,200,1024,,,,,,,0.158058828,sequential
heat,200,1024,,,,,,,0.157896926,sequential
heat,200,1024,,,,,,,0.159226822,sequential
heat,200,1024,,,,,,,0.149902469,sequential
heat,200,1024,,,,,,,0.15880678,sequential
heat,200,1024,,,,,,,0.159436492,sequential
heat,200,1024,,,,,,,0.158386111,sequential
heat,200,1024,,,,,,,0.159848915,sequential
heat,200,1024,,,,,,,0.148995822,sequential
heat,200,1024,,,,,,,0.159242042,sequential
heat,200,1024,,,,,,,0.159914777,sequential
heat,200,1024,,,,,,,0.157971793,sequential
heat,200,1024,,,,,,,0.157658824,sequential
heat,200,1024,,,,,,,0.157400537,sequential
heat,200,1024,,,,,,,0.156842066,sequential
heat,200,1024,,,,,,,0.159676815,sequential
heat,200,1024,,,,,,,0.149249071,sequential
heat,200,1024,,,,,,,0.159945155,sequential
heat,200,1024,,,,,,,0.15748812,sequential
heat,200,1024,,,,,,,0.156377601,sequential
heat,200,1024,,,,,,,0.149397973,sequential
heat,200,1024,,,,,,,0.15907769,sequential
heat,200,1024,,,,,,,0.148755132,sequential
heat,200,1024,,,,,,,0.158744116,sequential
heat,200,1024,,,,,,,0.158479827,sequential
heat,200,1024,,,,,,,0.149012012,sequential
heat,200,1024,,,,,,,0.158770443,sequential
heat,200,1024,,,,,,,0.158922633,sequential
heat,200,1024,,,,,,,0.148967941,sequential
heat,200,1024,,,,,,,0.159856653,sequential
heat,200,1024,,,,,,,0.159211156,sequential
heat,200,1024,,,,,,,0.164717984,sequential
heat,200,1024,,,,,,,0.149506222,sequential
heat,200,1024,,,,,,,0.15813053,sequential
heat,200,1024,,,,,,,0.15925236,sequential
heat,200,1024,,,,,,,0.150447087,sequential
heat,200,1024,,,,,,,0.150088858,sequential
